number,miner,time
8890240,77C2a9FCb814e267D0FdE5b6463B856dA62988Ab,1573133041
8890234,6F714AaAAF72977267601cC1cADC49fb3966Ff89,1573132907
8890224,02621d7665c4fa4172fb50150f18e9181abbe275,1573132772
8890222,f320031d528C171696b761f9215AE58330C054b8,1573132711
8890215,648c90f637ee7f40f24e7a94661e19b9e0101666,1573132626
8890213,2bdc5b98cf02a8793b1ddc4f642f14075712bfc9,1573132624
8890206,203d98f479668a557ae76e714ca7dc361c01217f,1573132460
8890204,26699d353e55265fdc78e0b021d33bcaff5eabce,1573132406
8890202,a0e4ec00896be52cfe4fe55e4bed49de64086d8c,1573132379
8890197,8aa3677b3748ffd1d4db8f1d81ef39bf22fd25cc,1573132329
